Sample #	Value
0		0
1		1
2		2
3		3
4		4
5		0
6		1
7		2
8		3
9		4
10		0
11		1
12		2
13		3
14		4
15		0
16		1
17		2
18		3
19		4
20		0
21		1
22		2
23		3
24		4
25		0
26		1
27		2
28		3
29		4
30		0
31		1
32		2
33		3
34		4
35		0
36		1
37		2
38		3
39		4
40		0
41		1
42		2
43		3
44		4
45		0
46		1
47		2
48		3
49		4
50		0
51		1
52		2
53		3
54		4
55		0
56		1
57		2
58		3
59		4
60		0
61		1
62		2
63		3
64		4
65		0
66		1
67		2
68		3
69		4
70		0
71		1
72		2
73		3
74		4
75		0
76		1
77		2
78		3
79		4
80		0
81		1
82		2
83		3
84		4
85		0
86		1
87		2
88		3
89		4
90		0
91		1
92		2
93		3
94		4
95		0
96		1
97		2
98		3
99		4
100		0
101		1
102		2
103		3
104		4
105		0
106		1
107		2
108		3
109		4
110		0
111		1
112		2
113		3
114		4
115		0
116		1
117		2
118		3
119		4
120		0
121		1
122		2
123		3
124		4
125		0
126		1
127		2
128		3
129		4
130		0
131		1
132		2
133		3
134		4
135		0
136		1
137		2
138		3
139		4
140		0
141		1
142		2
143		3
144		4
145		0
146		1
147		2
148		3
149		4
150		0
151		1
152		2
153		3
154		4
155		0
156		1
157		2
158		3
159		4
160		0
161		1
162		2
163		3
164		4
165		0
166		1
167		2
168		3
169		4
170		0
171		1
172		2
173		3
174		4
175		0
176		1
177		2
178		3
179		4
180		0
181		1
182		2
183		3
184		4
185		0
186		1
187		2
188		3
189		4
190		0
191		1
192		2
193		3
194		4
195		0
196		1
197		2
198		3
199		4
200		0
201		1
202		2
203		3
204		4
205		0
206		1
207		2
208		3
209		4
210		0
211		1
212		2
213		3
214		4
215		0
216		1
217		2
218		3
219		4
220		0
221		1
222		2
223		3
224		4
225		0
226		1
227		2
228		3
229		4
230		0
231		1
232		2
233		3
234		4
235		0
236		1
237		2
238		3
239		4
240		0
241		1
242		2
243		3
244		4
245		0
246		1
247		2
248		3
249		4
250		0
251		1
252		2
253		3
254		4
255		0
256		1
257		2
258		3
259		4
260		0
261		1
262		2
263		3
264		4
265		0
266		1
267		2
268		3
269		4
270		0
271		1
272		2
273		3
274		4
275		0
276		1
277		2
278		3
279		4
280		0
281		1
282		2
283		3
284		4
285		0
286		1
287		2
288		3
289		4
290		0
291		1
292		2
293		3
294		4
295		0
296		1
297		2
298		3
299		4
300		0
301		1
302		2
303		3
304		4
305		0
306		1
307		2
308		3
309		4
310		0
311		1
312		2
313		3
314		4
315		0
316		1
317		2
318		3
319		4
320		0
321		1
322		2
323		3
324		4
325		0
326		1
327		2
328		3
329		4
330		0
331		1
332		2
333		3
334		4
335		0
336		1
337		2
338		3
339		4
340		0
341		1
342		2
343		3
344		4
345		0
346		1
347		2
348		3
349		4
350		0
351		1
352		2
353		3
354		4
355		0
356		1
357		2
358		3
359		4
360		0
361		1
362		2
363		3
364		4
365		0
366		1
367		2
368		3
369		4
370		0
371		1
372		2
373		3
374		4
375		0
376		1
377		2
378		3
379		4
380		0
381		1
382		2
383		3
384		4
385		0
386		1
387		2
388		3
389		4
390		0
391		1
392		2
393		3
394		4
395		0
396		1
397		2
398		3
399		4
400		0
401		1
402		2
403		3
404		4
405		0
406		1
407		2
408		3
409		4
410		0
411		1
412		2
413		3
414		4
415		0
416		1
417		2
418		3
419		4
420		0
421		1
422		2
423		3
424		4
425		0
426		1
427		2
428		3
429		4
430		0
431		1
432		2
433		3
434		4
435		0
436		1
437		2
438		3
439		4
440		0
441		1
442		2
443		3
444		4
445		0
446		1
447		2
448		3
449		4
450		0
451		1
452		2
453		3
454		4
455		0
456		1
457		2
458		3
459		4
460		0
461		1
462		2
463		3
464		4
465		0
466		1
467		2
468		3
469		4
470		0
471		1
472		2
473		3
474		4
475		0
476		1
477		2
478		3
479		4
480		0
481		1
482		2
483		3
484		4
485		0
486		1
487		2
488		3
489		4
490		0
491		1
492		2
493		3
494		4
495		0
496		1
497		2
498		3
499		4
500		0
501		1
502		2
503		3
504		4
505		0
506		1
507		2
508		3
509		4
510		0
511		1
512		2
513		3
514		4
515		0
516		1
517		2
518		3
519		4
520		0
521		1
522		2
523		3
524		4
525		0
526		1
527		2
528		3
529		4
530		0
531		1
532		2
533		3
534		4
535		0
536		1
537		2
538		3
539		4
540		0
541		1
542		2
543		3
544		4
545		0
546		1
547		2
548		3
549		4
550		0
551		1
552		2
553		3
554		4
555		0
556		1
557		2
558		3
559		4
560		0
561		1
562		2
563		3
564		4
565		0
566		1
567		2
568		3
569		4
570		0
571		1
572		2
573		3
574		4
575		0
576		1
577		2
578		3
579		4
580		0
581		1
582		2
583		3
584		4
585		0
586		1
587		2
588		3
589		4
590		0
591		1
592		2
593		3
594		4
595		0
596		1
597		2
598		3
599		4
600		0
601		1
602		2
603		3
604		4
605		0
606		1
607		2
608		3
609		4
610		0
611		1
612		2
613		3
614		4
615		0
616		1
617		2
618		3
619		4
620		0
621		1
622		2
623		3
624		4
625		0
626		1
627		2
628		3
629		4
630		0
631		1
632		2
633		3
634		4
635		0
636		1
637		2
638		3
639		4
640		0
641		1
642		2
643		3
644		4
645		0
646		1
647		2
648		3
649		4
650		0
651		1
652		2
653		3
654		4
655		0
656		1
657		2
658		3
659		4
660		0
661		1
662		2
663		3
664		4
665		0
666		1
667		2
668		3
669		4
670		0
671		1
672		2
673		3
674		4
675		0
676		1
677		2
678		3
679		4
680		0
681		1
682		2
683		3
684		4
685		0
686		1
687		2
688		3
689		4
690		0
691		1
692		2
693		3
694		4
695		0
696		1
697		2
698		3
699		4
700		0
701		1
702		2
703		3
704		4
705		0
706		1
707		2
708		3
709		4
710		0
711		1
712		2
713		3
714		4
715		0
716		1
717		2
718		3
719		4
720		0
721		1
722		2
723		3
724		4
725		0
726		1
727		2
728		3
729		4
730		0
731		1
732		2
733		3
734		4
735		0
736		1
737		2
738		3
739		4
740		0
741		1
742		2
743		3
744		4
745		0
746		1
747		2
748		3
749		4
750		0
751		1
752		2
753		3
754		4
755		0
756		1
757		2
758		3
759		4
760		0
761		1
762		2
763		3
764		4
765		0
766		1
767		2
768		3
769		4
770		0
771		1
772		2
773		3
774		4
775		0
776		1
777		2
778		3
779		4
780		0
781		1
782		2
783		3
784		4
785		0
786		1
787		2
788		3
789		4
790		0
791		1
792		2
793		3
794		4
795		0
796		1
797		2
798		3
799		4
800		0
801		1
802		2
803		3
804		4
805		0
806		1
807		2
808		3
809		4
810		0
811		1
812		2
813		3
814		4
815		0
816		1
817		2
818		3
819		4
820		0
821		1
822		2
823		3
824		4
825		0
826		1
827		2
828		3
829		4
830		0
831		1
832		2
833		3
834		4
835		0
836		1
837		2
838		3
839		4
840		0
841		1
842		2
843		3
844		4
845		0
846		1
847		2
848		3
849		4
850		0
851		1
852		2
853		3
854		4
855		0
856		1
857		2
858		3
859		4
860		0
861		1
862		2
863		3
864		4
865		0
866		1
867		2
868		3
869		4
870		0
871		1
872		2
873		3
874		4
875		0
876		1
877		2
878		3
879		4
880		0
881		1
882		2
883		3
884		4
885		0
886		1
887		2
888		3
889		4
890		0
891		1
892		2
893		3
894		4
895		0
896		1
897		2
898		3
899		4
900		0
901		1
902		2
903		3
904		4
905		0
906		1
907		2
908		3
909		4
910		0
911		1
912		2
913		3
914		4
915		0
916		1
917		2
918		3
919		4
920		0
921		1
922		2
923		3
924		4
925		0
926		1
927		2
928		3
929		4
930		0
931		1
932		2
933		3
934		4
935		0
936		1
937		2
938		3
939		4
940		0
941		1
942		2
943		3
944		4
945		0
946		1
947		2
948		3
949		4
950		0
951		1
952		2
953		3
954		4
955		0
956		1
957		2
958		3
959		4
960		0
961		1
962		2
963		3
964		4
965		0
966		1
967		2
968		3
969		4
970		0
971		1
972		2
973		3
974		4
975		0
976		1
977		2
978		3
979		4
980		0
981		1
982		2
983		3
984		4
985		0
986		1
987		2
988		3
989		4
990		0
991		1
992		2
993		3
994		4
995		0
996		1
997		2
998		3
999		4
1000		0
1001		1
1002		2
1003		3
1004		4
1005		0
1006		1
1007		2
1008		3
1009		4
1010		0
1011		1
1012		2
1013		3
1014		4
1015		0
1016		1
1017		2
1018		3
1019		4
1020		0
1021		1
1022		2
1023		3
1024		4
1025		0
1026		1
1027		2
1028		3
1029		4
1030		0
1031		1
1032		2
1033		3
1034		4
1035		0
1036		1
1037		2
1038		3
1039		4
1040		0
1041		1
1042		2
1043		3
1044		4
1045		0
1046		1
1047		2
1048		3
1049		4
1050		0
1051		1
1052		2
1053		3
1054		4
1055		0
1056		1
1057		2
1058		3
1059		4
